(12) Revenue Mix Path — From Wafer Allocation to Revenue Share,,,,,
"Physical layer (wafer/bit) is anchored on TrendForce actuals. Price layer (ASP premium) is a [*] input lever. The 53/23/24 split is an FY2026 snapshot, not a constant.",,,,,
,,,,,
1. Inputs — Physical Layer,,,,,
Item,FY2026,FY2027,FY2028,FY2029,Source / Note
HBM wafer input share (top 3 suppliers),22.00%,30.00%,35.00%,38.00%,"FY26-27: TrendForce, Jun 2026 (18%/22%/30% for 2025/26/27). FY28-29: extrapolated [ESTIMATE]"
Trade ratio (wafer area per HBM bit vs commodity),2.85,2.87,3,3.1,FY26-27: back-solved from TrendForce wafer and bit shares. Reflects HBM3 3:1 to HBM4 4:1 trend [ESTIMATE]
DRAM share of total revenue (vs NAND),76.00%,78.00%,80.00%,80.00%,FY2026: actual per handoff note (commodity 53% + HBM 23%). Later years assume widening DRAM share [ESTIMATE]
,,,,,
2. [*] ASP Premium — This Single Input Dominates the Result,,,,,
[*] Case selector (1/2/3) — applies from FY2027 onward,2,,,,"Three sources (TrendForce DRAM revenue, bit share, Micron HBM TAM) disagree, so this is left as a band"
  1 = Conservative — consistent with Micron HBM TAM guidance,0.56,,,,HBM TAM $70B (2027 interpolated) / DRAM $903.3B = 7.8%; bit share 13% implies 0.56x
  2 = Mid — partial contract price recovery,2,,,,"Assumes partial realization of TrendForce ""HBM contract prices to surge multiples higher in 2027"" [ESTIMATE]"
  3 = Status quo — back-solved from FY2026 actuals,4.39,,,,Back-solved from Micron current mix: HBM 23% of revenue vs 9% of bits implies 4.39x
Applied premium (by year),4.39,2,2,2,FY2026 is fixed at the back-solved 4.39x so the actual 53/23/24 mix is always reproduced. The case selector applies from FY2027 onward.
,,,,,
3. Derived — Bit Share,,,,,
Item,FY2026,FY2027,FY2028,FY2029,
HBM bit share = (w/k) / ((w/k) + (1-w)),9.01%,12.99%,15.22%,16.51%,
Check: TrendForce published bit share,9.00%,13.00%,—,—,
Difference,0.01%,-0.01%,,,Near zero means the physical-layer model reconciles with published data
,,,,,
4. Derived — Revenue Mix,,,,,
Item,FY2026,FY2027,FY2028,FY2029,
HBM share of DRAM revenue,30.29%,23.00%,26.42%,28.34%,
"Commodity DRAM, % of total revenue",52.98%,60.06%,58.87%,57.33%,
"HBM, % of total revenue",23.02%,17.94%,21.13%,22.67%,
"NAND, % of total revenue",24.00%,22.00%,20.00%,20.00%,
Sum check,1,1,1,1,
,,,,,
5. Check — Reconciliation to FY2026 Actual Mix (should match exactly under Case 3),,,,,
Item,Commodity DRAM,HBM,NAND,,
"FY2026 actual (handoff note, section 3.5)",53.00%,23.00%,24.00%,,
FY2026 derived (current case),52.98%,23.02%,24.00%,,
Difference,-0.02%,0.02%,0,,A zero difference under Case 3 (4.39x) confirms the back-solve is exact
,,,,,
Note: The physical layer (rows 6-7) rests on TrendForce actuals and is relatively firm. The price layer (rows 11-15) is currently the most volatile variable in the industry.,,,,,
"Note: Across a premium of 0.56x to 4.39x, HBM moves from roughly 8% to 35% of total revenue. That range is the model uncertainty.",,,,,
Note: Resolution point is the HBM4 annual contract price negotiation in Nov-Dec 2026. Entering the outcome in rows 11-14 recalculates every downstream tab.,,,,,
Sources: TrendForce press releases 2026-05-29 and 2026-06-02; Micron FY26 Q1 earnings call (Dec 2025). Not investment advice.,,,,,
Revision 2026-07-31: FY2026 premium fixed at 4.39x. The actual mix (53/23/24) must always be reproduced so the TTM shares on the ChinaRisk tab stay correct.,,,,,
