(14) ROE Build-up — Two-Factor DuPont  [*] Cross-check 2,,,,,,
ROE = net margin x equity turnover. Margin comes from SegmentMargin; equity comes from consensus BPS.,,,,,,
,,,,,,
1. Inputs,,,,,,
[*] Effective tax rate,14.50%,,,,"Back-solved from consensus pretax vs net income for FY26-28 (14.9% / 15.2% / 13.7%), averaged",
Shares outstanding (millions),1130,,,,,
"Note: The net cash position generates interest income, which is conservatively ignored. Actual ROE will run slightly above the derived figure.",,,,,,
,,,,,,
2. Derivation,,,,,,
Item,FY2026,FY2027,FY2028,FY2029,,
"Revenue ($m, consensus)",129459,246699,285117,289549,,
Blended EBIT margin (from SegmentMargin),65.89%,70.72%,70.52%,62.68%,,
Derived net margin,56.34%,60.46%,60.30%,53.59%,,
Derived net income ($m),"72,936.94","149,158.72","171,920.17","155,162.81",,
Opening BPS,48.4,118.72,259.02,437.94,,
Closing BPS,118.72,259.02,437.94,643.7,,
Average equity ($m),"94,422.8","213,423.1","393,782.4","611,126.6",,
Derived ROE,77.25%,69.89%,43.66%,25.39%,,
,,,,,,
3. [*] Cross-check 2 — Consensus ROE,,,,,,
Item,FY2026,FY2027,FY2028,FY2029,,
Consensus ROE (median),84.40%,73.84%,44.86%,29.60%,,
Derived ROE,77.25%,69.89%,43.66%,25.39%,,
Gap (pp),-7.15%,-3.95%,-1.20%,-4.21%,,
"Consensus ROE, number of estimates",22,21,16,3,,
,,,,,,
"Note: Consensus ROE, EPS and BPS come from different analyst samples (for FY2028: ROE 16, EPS 31, BPS 12).",,,,,,
"Note: Consequently consensus net income divided by consensus average equity does not equal consensus ROE. Use this cross-check directionally, not for decimal agreement.",,,,,,
"Note: A large gap means one of two things - the segment margin assumptions are wrong, or the 12-estimate consensus BPS partially reflects buybacks.",,,,,,
,,,,,,
4. [*] Buyback Adjustment — Correcting the Equity Balloon,,,,,,
"Consensus net debt (negative = net cash, $m)",-40902,-143648,-265525,-318921,,"FY2029 net cash of $318.9B equals 110% of revenue, implying zero buybacks"
[*] Cumulative buyback spend ($m),0,0,60000,150000,,[*] Assumes buybacks begin after the CHIPS restriction lifts on Dec 9. Estimates range from BofA $31.7B to UBS $380B; default sits in between
Average buyback deduction,0,0,30000,105000,,
Adjusted average equity ($m),"94,422.8","213,423.1","363,782.4","506,126.6",,
[*] Adjusted ROE,77.25%,69.89%,47.26%,30.66%,,The TerminalROE tab reads this row
   ROE before buybacks (reference),77.25%,69.89%,43.66%,25.39%,,
   Buyback effect (pp),0,0,3.60%,5.27%,,
,,,,,,
Note: The consensus BPS median (437.94) sits 5.9% above the mean (413.67). Some analysts already model buybacks and some do not.,,,,,,
Note: Consensus BPS is therefore a blended figure. Leaving row 33 at zero is the extreme assumption that no buybacks occur at all.,,,,,,
"Note: Buybacks do not change net income, only the denominator, so they lift ROE directly. Resolution point: the CHIPS restriction announcement on 2026-12-09.",,,,,,
