(18) P/B Bridge — Why the Market Assigns This Multiple,,,,,,,
"P/B is an output of the RIM, not an input. Rather than adding adjustment factors, the multiple is split into three pieces to show where it comes from.",,,,,,,
,,,,,,,
1. RIM Inputs (Section 11 Adopted Structure),,,,,,,
B0 - FY2025 actual BPS,48.4,,,,,,Confirmed actual
"+ PV of residual income, FY2026-28",271.18,,,,,,Explicit forecast window
Terminal base equity (FY2028 BPS),437.94,,,,,,12 estimates
Discount factor to FY2028,0.7117,,,,,,
Terminal ROE (derived on TerminalROE),25.28%,,,,,,Manual entry retired
Terminal discount rate,16.00%,,,,,,[*] The last battleground
Terminal growth rate g,4.00%,,,,,,
Stage 1 discount rate,12.00%,,,,,,
,,,,,,,
2. Multiple Bridge — Today’s Value Expressed Against FY2028 Book,,,,,,,
PV of terminal value,240.9708,,,,,,
Intrinsic value V0 (today),560.55,,,,,,
V0 compounded to FY2028,787.57,,,,,,
,,,,,,,
P/B bridge (forward multiple on FY2028 BPS),,,,,,,
  (a) Book value component (B0),0.1553,,,,,,Equity already booked
  (b) Explicit residual income,0.87,,,,,,"Excess earnings, FY2026-28"
  (c) Terminal contribution,0.7731,,,,,,Everything from FY2029 onward
  Derived forward P/B,1.7984,,,,,,Total
Terminal share of the multiple,42.99%,,,,,,A high value means the conclusion is dominated by terminal assumptions
,,,,,,,
3. Comparison With the Market Multiple,,,,,,,
Current share price,900,,,,,,
FY2028 consensus BPS,437.94,,,,,,12 estimates
Market forward P/B (FY2028),2.0551,,,,,,Current price / FY2028 BPS
Derived forward P/B,1.7984,,,,,,"Sum of (a), (b) and (c) above"
Gap,0.2567,,,,,,Positive means the market values the shares above the model
Gap (%),14.27%,,,,,,
,,,,,,,
4. Reference — Historical Multiple Band,,,,,,,
"  Five-year P/B band, low",1.26,,,,,,FY2022
  Five-year P/B average,1.952,,,,,,FY2021~25
"  Five-year P/B band, high",2.53,,,,,,FY2025
  BofA two-year-forward historical median,1.54,,,,,,"BofA report, 2026-05-29"
Note: The band above reflects realized multiples on then-current book value. Mind the timing difference when comparing directly with a forward P/B.,,,,,,,
,,,,,,,
5. P/B Sensitivity (rows: terminal ROE / columns: terminal discount rate) — forward P/B on FY2028 BPS,,,,,,,
Terminal ROE \ Discount rate,10.00%,12.00%,14.00%,16.00%,18.00%,20.00%,
15.00%,1.8586,1.4003,1.1253,0.9419,0.811,0.7128,
20.00%,2.6919,2.0253,1.6253,1.3586,1.1681,1.0253,
25.00%,3.5253,2.6503,2.1253,1.7753,1.5253,1.3378,
30.00%,4.3586,3.2753,2.6253,2.1919,1.8824,1.6503,
35.00%,5.1919,3.9003,3.1253,2.6086,2.2396,1.9628,
40.00%,6.0253,4.5253,3.6253,3.0253,2.5967,2.2753,
,,,,,,,
Current combination,1.7984,,,,,,
Market forward P/B,2.0551,,,,,,
Note: The cell matching the market multiple in B51 is the terminal ROE and discount rate combination the market implies.,,,,,,,
Note: Cells above the historical band high of 2.53x sit in territory that has never been realized.,,,,,,,
,,,,,,,
6. [*] News Routing — Why No Adjustment Factor Is Applied to P/B,,,,,,,
"Every news item routes through the table below into an existing input cell. Adjusting P/B directly would put the target multiple and the achievement rate on the optimistic side at the same time, violating update rule 5 in section 7 of the handoff note.",,,,,,,
News / Event,Transmission path,Cell to adjust,P/B direction,Resolution point,,,
HBM4 contract price rises (Goldman +44-50%),"HBM ASP up, HBM OPM up, ROE up",SegmentMargin B41:E41,Expands,2026-11~12,,,
HBM4 contract price undershoots consensus (+34%),"HBM ASP down, HBM OPM down",SegmentMargin B41:E41,Contracts,2026-11~12,,,
Commodity DRAM spot price collapses,"Commodity ASP down, commodity OPM down, ROE down",SegmentMargin B40:E40,Contracts,Ongoing,,,
Memory oversupply (CXMT and top-3 expansion),Commodity ASP down,SegmentMargin B40:E40,Contracts,2027~28,,,
Hyperscaler AI capex slows,HBM wafer share down and commodity ASP down,MixPath B6:E6 and SegmentMargin row 40,Contracts,Quarterly,,,
Large buyback announced on Dec 9,"Equity down, turnover up, ROE up",ROE_Build B33:E33,Expands,2026-12-09,,,
LTA floor price confirmed,"Contract trough ROE up, terminal ROE up",TerminalROE B22,Expands,Year-end to early next year,,,
"Rates fall, liquidity improves","Cost of equity down, terminal discount rate down",RIM_3Stage B9,Expands,Ongoing,,,
Re-rating out of the cyclical bucket (beta down),Cost of equity down,RIM_3Stage B9 and Assumptions B14,Expands,After LTA terms are disclosed,,,
CXMT accelerates into HBM,"Terminal ROE down, discount rate up",TerminalROE B22 and RIM_3Stage B9,Contracts,HBM3E in 2027,,,
Micron misses consensus,"Consensus EPS and BPS down, all tabs recalculate",Consensus tab,Contracts,Late Sep to early Oct,,,
Apple adopts CXMT (Aug 21 Senate reply),"Political shield disappears, discount rate up",RIM_3Stage B9,Contracts,2026-08-21,,,
,,,,,,,
"Note: There is deliberately no P/B premium factor cell here. With one, any conclusion could be manufactured.",,,,,,,
"Note: The four factors raised in review (ROE premium, AI slowdown, oversupply, liquidity) map to rows 1, 5, 4 and 8 of the table above.",,,,,,,
Sources: Historical multiples from the HistoricalCycle tab. Resolution points are synchronized with the Tracker tab. Not investment advice.,,,,,,,
